cmdId  W   SET-handler  QUERY-handler  command
0x00f2  R   -            0x240b6        :CALC2:DATA
0x00f3  R   -            0x2412e        :CALC2:DATA:LAT
0x00f4  RW  0x1ec3c      0x241ba        :CALC2:FEED
0x00f5  RW  0x1edf2      0x242cc        :CALC2:LIM:COMP:FAIL
0x00f6  RW  0x1ee0e      0x24306        :CALC2:LIM:COMP:SOUR2
0x00f7  RW  0x1eef8      0x2433c        :CALC2:LIM4:SOUR2
0x00f8  R   -            0x243f6        :CALC2:LIM:FAIL
0x00f9  R   -            0x243e4        :CALC2:LIM4:FAIL
0x00fa  R   -            0x243f6        :CALC2:LIM2:FAIL
0x00fb  R   -            0x243f6        :CALC2:LIM3:FAIL
0x00fc  R   -            0x243f6        :CALC2:LIM5:FAIL
0x00fd  R   -            0x243f6        :CALC2:LIM6:FAIL
0x00fe  R   -            0x243f6        :CALC2:LIM7:FAIL
0x00ff  R   -            0x243f6        :CALC2:LIM8:FAIL
0x0100  R   -            0x243f6        :ARM:SOUR:NST
0x0101  R   -            0x243f6        :CALC2:LIM10:FAIL
0x0102  R   -            0x243f6        :CALC2:LIM11:FAIL
0x0103  R   -            0x243f6        :CALC2:LIM12:FAIL
0x0104  RW  0x1ee68      0x24396        :CALC2:LIM:STAT
0x0105  RW  0x1ee4c      0x24384        :CALC2:LIM4:STAT
0x0106  RW  0x1ee68      0x24396        :CALC2:LIM2:STAT
0x0107  RW  0x1ee68      0x24396        :CALC2:LIM3:STAT
0x0108  RW  0x1ee68      0x24396        :CALC2:LIM5:STAT
0x0109  RW  0x1ee68      0x24396        :CALC2:LIM6:STAT
0x010a  RW  0x1ee68      0x24396        :CALC2:LIM7:STAT
0x010b  RW  0x1ee68      0x24396        :CALC2:LIM8:STAT
0x010c  RW  0x1ee68      0x24396        :CALC2:LIM9:STAT
0x010d  RW  0x1ee68      0x24396        :CALC2:LIM10:STAT
0x010e  RW  0x1ee68      0x24396        :CALC2:LIM11:STAT
0x010f  RW  0x1ee68      0x24396        :CALC2:LIM12:STAT
0x0110  RW  0x1ef48      0x24492        :CALC2:LIM2:UPP
0x0111  RW  0x1ef48      0x24492        :CALC2:LIM3:UPP
0x0112  RW  0x1ef48      0x24492        :CALC2:LIM5:UPP
0x0113  RW  0x1ef48      0x24492        :CALC2:LIM6:UPP
0x0114  RW  0x1ef48      0x24492        :CALC2:LIM7:UPP
0x0115  RW  0x1ef48      0x24492        :CALC2:LIM8:UPP
0x0116  RW  0x1ef48      0x24492        :CALC2:LIM9:UPP
0x0117  RW  0x1ef48      0x24492        :CALC2:LIM10:UPP
0x0118  RW  0x1ef48      0x24492        :CALC2:LIM11:UPP
0x0119  RW  0x1ef48      0x24492        :CALC2:LIM12:UPP
0x011a  RW  0x1ef9a      0x2453e        :CALC2:LIM2:UPP:SOUR2
0x011b  RW  0x1ef9a      0x2453e        :CALC2:LIM3:UPP:SOUR2
0x011c  RW  0x1ef9a      0x2453e        :CALC2:LIM5:UPP:SOUR2
0x011d  RW  0x1ef9a      0x2453e        :CALC2:LIM6:UPP:SOUR2
